2017-08-23_17-24-36,episodes,1140,avg_step,147.82,avg_reward,-543.86,Epsilon,0.01,Explored State,170
,ScanSlice,12,StateSlice,3,LaunchNums,3,ALPHA,0.1,GAMMA,0.2,sleep_time,0.12,ActionNums,5
,angularSpeed,0.7,linearSpeed,0.3,,,,,OLD_DATA,"[1000, 134.77, -545.5, 1000]","[12, 3, 3, 0.1, 0.2, 0.12, 5]","[0.7, 0.3]","[0.36, 0.8, 1.45]"
,Crush thre,0.36,Sensing thre,0.8,1.45

,,State_om,State_dist,Action 0,Action 1,Action 2,Action 3,Action 4,Action Taken 0,A T 1,A T 2,A T 3,A T 4
,state,2.0,13.0,-39,-257,-259,-256,-101,4,4,4,3,15
,state,2.0,14.0,-318,-269,-210,-273,-289,12,13,66,5,16
,state,2.0,15.0,-8,-7,-8,-7,-8,0,0,0,0,0
,state,2.0,16.0,0,-23,-23,-21,-18,3389,409,402,510,273
,state,2.0,17.0,0,-2,0,0,0,465,266,806,563,417
,state,2.0,18.0,-46,-34,-26,-22,0,57,76,119,326,248
,state,2.0,19.0,-33,-18,0,-6,-10,4,53,58,111,0
,state,2.0,20.0,-255,-34,0,-32,-85,560,439,735,10,32
,state,2.0,21.0,-152,-185,0,-230,-255,619,16,467,58,403
,state,2.0,22.0,-121,-147,-1,-142,-206,57,9,262,43,69
,state,2.0,23.0,-95,-13,0,-20,-8,21,88,24,1,18
,state,2.0,24.0,0,-62,-32,-99,-95,55,2,2,12,34
,state,2.0,25.0,-279,-279,-304,-33,-278,20,26,22,63,9
,state,2.0,26.0,-345,-265,-261,-222,-150,12,51,23,43,541
,state,2.0,27.0,-256,-257,-258,-113,-278,3,4,3,94,20
,state,2.0,28.0,-284,-270,-365,-379,-325,25,15,6,5,11
,state,2.0,29.0,-5,-5,-259,-255,-10,0,0,2,4,0
,state,2.0,30.0,-47,-258,-50,-38,-100,6,3,2,1,25
,state,2.0,31.0,-1,-6,-9,-1,-10,0,0,0,0,0
,state,2.0,32.0,0,-185,-229,-229,-105,899,283,521,117,140
,state,2.0,33.0,0,-255,-95,-93,-95,124,357,170,140,63
,state,2.0,36.0,0,-207,-256,-207,-286,940,5,214,8,24
,state,2.0,37.0,-154,-298,-303,-325,-314,144,61,38,18,9
,state,2.0,38.0,-5,-9,-258,-105,-9,0,0,2,4,0
,state,2.0,40.0,-18,-359,-400,-410,-397,95,33,13,11,14
,state,2.0,41.0,-633,-242,-654,-605,-529,40,209,53,25,50
,state,2.0,42.0,-383,-255,-258,-288,-464,4,2,2,3,2
,state,2.0,43.0,-4,-5,-7,-3,-10,0,0,0,0,0
,state,2.0,44.0,-363,-381,-387,-221,-354,15,24,13,48,29
,state,2.0,45.0,-95,-256,-256,-122,-256,7,7,3,7,3
,state,2.0,46.0,-6,-1,-6,-10,-8,0,0,0,0,0
,state,2.0,47.0,-9,-9,-6,-6,-6,0,0,0,0,0
,state,2.0,48.0,-3,-323,-268,-281,-351,155,48,49,26,15
,state,2.0,49.0,0,-66,-255,-255,-265,118,8,22,7,13
,state,2.0,52.0,-229,-95,-17,-18,0,25,27,11,11,42
,state,2.0,53.0,-256,-1,-255,-6,-9,3,5,12,0,0
,state,2.0,56.0,-343,-379,-144,-270,-353,8,8,50,8,7
,state,2.0,57.0,-88,-299,-334,-282,-354,39,10,6,4,7
,state,2.0,58.0,-3,-5,-7,-10,-9,0,0,0,0,0
,state,2.0,59.0,-6,-9,-7,-6,-2,0,0,0,0,0
,state,2.0,60.0,-10,-7,-5,-7,-9,0,0,0,0,0
,state,2.0,61.0,-3,-2,-7,-3,-6,0,0,0,0,0
,state,2.0,62.0,-8,-3,-1,-6,-2,0,0,0,0,0
,state,2.0,63.0,-7,-1,-4,-9,-9,0,0,0,0,0
